Nome;Stand;País;Produtos;Site;Redes sociais;Atividade principal;Atividade secundária;Endereço
RV Fresh Foods BV;Hall 8 - A046;Netherlands;Avocado/Smashed Avocado, RV FRESH FOODS BV;https://www.rvfreshfoods.com/;;Fruits and vegetables;;Ceresstraat 13, BREDA, 4811 CA, .
PASTAI IRPINI;Hall 1 - E172;;;;;Grocery products;;
COMUNIDAD AUTONOMA DE LA REGION DE MURCIA;Hall 2 - N110;Spain;;;;Organizations, federations, institutions;;AV. TENIENTE FLOMESTA, S/N, MURCIA, 30071, .
Fort Capital Group (FCG);Hall 5A - E144;Egypt;;;;Fruits and vegetables;;44 street 18, Maadi Sarayat - Cairo, 44 street 18, Maadi Sarayat - Cairo, 44 street 18, Maadi Sarayat - Cairo, Cairo, 11728, egypt
PANAME FOOD;Hall 5C - F130;France;Mint Lemon Tea;;;Non-alcoholic beverages;;10 rue Anatole de La Forge, PARIS, 75017, .
GONNELLI 1585 SRL - FRANTOIO DI SANTA TEA;Hall 1 - F260;;;;;Grocery products;;
Bimal JSC;Hall 4 - R114;Bosnia and Herzegovina;Rapeseed Oil (https://bimal-group.com/en/), Sunflower Oil (https://bimal-group.com/#), Soybean Oil (https://bimal-group.com/en/);https://www.bimal-group.com/;LinkedIn (https://www.linkedin.com/company/bimal-jsc/posts/?feedView=all);Grocery products;Semi-finished food products and ingredients;Bijeljinska 9, Brčko, 76100
FOODEAST TRADE;Hall 1 - E176;;;;;Grocery products;;
SUPERF;Hall 5A - D179;France;Topokki, Festival Gyoza, Korean rice onigiri, Namsan BBQ sauce, Red bean Mochi;https://maisondecoree.fr/en/;Instagram (https://www.instagram.com/maisondecoree.fr/);Grocery products;;18 rue Duphot, PARIS, 75001, .
TAB GREEN LINE;Hall 1 - F083;Italy;TRUFFLE PRODUCTS, RED PESTO, GASTRONOMIC SHORT PASTA, GASTRONIMIC LONG PASTA, PIEDMONTESE SAUCES, GENOVESE PESTO, ITALIAN PESTOS - PISTACHIO, LEMON, GARLIC AND CHILLI PEPPER PESTOS, SWEET SPREADS;https://www.tabgreenline.it/;;Grocery products;Confectionery, biscuits and pastry, Delicatessen, Ready to Eat;VIA GARETTA 40, GENOLA, 12040
GRECI INDUSTRIA ALIMENTARE SPA;;Italy;;https://www.greci.com/;;Grocery products;;Via Traversante Ravadese 58, Parma, 43122
Quinta de Jugais;Hall 5B - N101;Portugal;;;;Grocery products;;Zona Industrial, Lote 17 A, Apartado 218, OLIVEIRA DO HOSPITAL, 3400-060, .
Pro Food GmbH;Hall 6 - K165;Germany;frozen pork, poultry and beef;https://www.profood.org/;;Meat and tripe;;Heinrich-Hertz Strasse 11-13, RECKLINGHAUSEN, 45657, .
RODOLFI MANSUETO SPA;;Italy;;;;Healthy foods and diet products;;Via Mansueto Rodolfi 3, Ozzano Taro, Collecchio, 43044
REGILAIT;Hall 7 - B048;France;;;;Dairy products, eggs;;102 RD 906, 71118 Saint Martin Belle Roche, CS 20309, MACON CEDEX, 71009, .
SAGY COMPANY;Hall 5C - H287;France;Aromatic Teas (https://www.sagy-company.com/thes/), SAGYSUC sweetener tablets distributor (https://www.sagy-company.com/edulcorants/), GYCAO 32% cocoa powder (https://www.sagy-company.com/cacaos/), Cocoa powder SAGY (https://www.sagy-company.com/cacaos/), BRESILYO Coffee 50% robusta, 50% arabica (https://www.sagy-company.com/cafes-solubles/), SAGYCORÉ chicory coffee (https://www.sagy-company.com/cafe-chicoree-soluble/), SAGYTO chicory 60% / coffee 40% (https://www.sagy-company.com/cafe-chicoree-soluble/), SELECTION PLUS coffee 90% robusta/10% arabica (https://www.sagy-company.com/cafes-solubles/), PURCAO PLUS powder cocoa (https://www.sagy-company.com/cacaos/), SAGYSUC liquid (https://www.sagy-company.com/edulcorants/), Pure Ceylon Tea - Premium Quality (https://www.sagy-company.com/thes/), SAGYCAO cocoa powder 20% (https://www.sagy-company.com/cacaos/), SAGY PREMIUM coffee et caffeine-free 2g 100% Arabica (https://www.sagy-company.com/cafes-solubles/), SAGYSUC powder and tablet aspartame (https://www.sagy-company.com/edulcorants/), VALCAO cocoa powder 15% (https://www.sagy-company.com/cacaos/), 100-sachet infusions box, unwrapped (https://www.sagy-company.com/infusions/), SAGYKA sweetened cocoa milk powder 17% (https://www.sagy-company.com/cacaos/), PRESTILYO coffee 100% arabica (https://www.sagy-company.com/cafes-solubles/), SELECTION 100% robusta coffee (https://www.sagy-company.com/cafes-solubles/), PURCAO cocoa powder (https://www.sagy-company.com/cacaos/), Marshmallow Cocoa Powder 35%  (https://www.sagy-company.com/les-chocolats-aromatises/), Macaron-Pistachio flavored chocolate powder 35% (https://www.sagy-company.com/les-chocolats-aromatises/), Vanilla-cinnamon flavored chocolate powder 35% (https://www.sagy-company.com/les-chocolats-aromatises/), Multi-flavored cocoa powder 35% (https://www.sagy-company.com/les-chocolats-aromatises/), Cocoa-Raspberry flavored chocolate powder 35% (https://www.sagy-company.com/les-chocolats-aromatises/), Cocoa Powder 35% Classic (https://www.sagy-company.com/les-chocolats-aromatises/);https://www.sagy-company.com/;LinkedIn (https://www.linkedin.com/company/sagy-company/), Facebook (https://www.facebook.com/people/Sagy-Company/61564384557631/), Instagram (https://www.instagram.com/sagycompany/);Non-alcoholic beverages;;17 rue de l'Abreuvoir, SAGY, 95450
GRUPO MONTALVA;Hall 6 - A177;Portugal;;;;Meat and tripe;;Av. Olivença s/n, MONTIJO, 2870-108, .
LE CHARBON ACTIF FRANCAIS;Hall 6 - ST032;France;New-gen glass filter carafe (https://www.lecharbonactif.com/product-page/carafe-filtrante-en-verre-1-5l-rechargeable), Eco-friendly portable water filter (https://www.lecharbonactif.com/filtres-a-eau-nomades-au-charbon-actif);https://www.lecharbonactif.com/;LinkedIn (https://www.linkedin.com/company/bijin-takesumi-lcaf/), Facebook (https://www.facebook.com/charbonactiffrancais), Instagram (https://www.instagram.com/lecharbonactiffrancais/);Equipment, Technologies and Services;Non-alcoholic beverages;8 rue du pont de la Mère, CUSSET, 03300, .
PT TREE NUT ASIA;Hall 6A - G140;People's Republic of China;Almond (https://www.kingofnut.com/), Raisin (https://www.kingofnut.com/), Walnut (https://www.kingofnut.com/), pistachio (https://www.kingofnut.com/);https://www.kingofnut.com/;;Confectionery, biscuits and pastry;;No. 40 H.K Middle Rd., , 2902, Flagship Mansion, No. 40 H.K Middle Rd., , Kelurahan Baloi Permai,, Qingdao, 266072, Shandong
AQUA ANA MESRUBAT A.S.;Hall 5C - H063;Türkiye;;;;Non-alcoholic beverages;;GULLUCE MAH.  2. NOLU CAD., No:22 , OSB,  MUSTAFAKEMALPASA, BURSA, 16500, .
BIRAGHI SPA;Hall 7 - C290;Italy;;;;Dairy products, eggs;;VIA CUNEO 1, CAVALLERMAGGIORE, 12030, .
Heritage snacks & food Co.,Ltd.;Hall 5B - J406;Thailand;;;;Confectionery, biscuits and pastry;;34/1-34/2 MOO 5, PUTTHAMONTHON SAI 4RD, KRATUMLOM, SAMPRAN,, NAKORNPATHON, 73220
EKTIFA;Hall 3 - F132;United Arab Emirates;;;;Grocery products;;SHARJAH INDUSTRIAL AREA 11, SHARJAH, 580
GEA INDUSTRIE ALIMENTARI SRL;Hall 5A - V162;Italy;;;LinkedIn (https://www.linkedin.com/company/gea-industrie-alimentari/), Facebook (https://www.facebook.com/artica.food/), Instagram (https://www.instagram.com/artica.food/);Delicatessen, Ready to Eat;Frozen products;VIA GADAMES 128, MILAN (MI), 20151, .
SOLAREC SA;Hall 7 - G097;Belgium;UHT Milk, Mozzarella cheese, Milk Powder, Puff Pastry Butter, Butter;https://solarec.be/;;Dairy products, eggs;;Rue de Saint-Hubert 75, LIBRAMONT, 6800, .
3 SEASONS FRUIT INDUSTRY CO., LTD.;Hall 6A - R006;Thailand;Freeze Dried Fruits & Vegetables, Frozen Fruits, Frozen Fruits, Freeze Dried fruits Retail package, Organic Freeze Dried Fruits & Powders, Organic Freeze Dried Fruits & Powders, Frozen Thai Tropical Fruits, Freeze Dried Fruits & Vegetables, Freeze Dried Fruit & Vegetable Powder, Freeze Dried fruits Retail package, Frozen Thai Tropical Fruits, Freeze Dried Fruit & Vegetable Powder;;;Grocery products;;1069, 1071, 1073 Rama 9 Road, Suan Luang, BANGKOK, 10250, .
EgyBerries for Wholesale and Retail Trade;Hall 6A - F001;Egypt;IQF Diced Onion  (https://www.egyberries.com/product-details.php?id=9), IQF Frozen Strawberry , IQF Frozen Green beans (WHole & Cut) (https://www.egyberries.com/product-details.php?id=11);https://www.egyberries.com/;LinkedIn (https://www.linkedin.com/company/egy-berries/), Facebook (https://www.facebook.com/profile.php?id=61584990581889);Fruits and vegetables;;Plot 143, AlMultaqa AlArabi, Airport, Road, Sheraton, Cairo, Egypt, Cairo, 11799
NEWBELL TRADE S. A.;Hall 5C - E113;Uruguay;Processed fruit: Stone Fruit (Peach, Apricot, Red Plum), Processed fruit: Lychee, Processed fruit: Grape, Processed fruit: Apple, Processed fruit: Mango, Processed fruit: Strawberry, Processed fruit: Pomegranate, Processed fruit: Pear, Processed fruit: Mandarin, Processed fruit: Grapefruit, Processed fruit: Lemon, Processed fruit: Lime, Processed fruit: Orange , Processed fruit: Pineapple, Processed fruit: Tomato;http://www.new-bell.com/;;Non-alcoholic beverages;Semi-finished food products and ingredients;Torre X - Juncal 1378 / Of. 603, MONTEVIDEO, 11000, MONTEVIDEO
Soko Gorica;Hall 5C - H218;North Macedonia;Junior Fruit Drinks (https://soko.com.mk/junior), VitaGO fruit drinks (https://soko.com.mk/vitago), Amigo fruit drinks (https://soko.com.mk/amigo), YOVIO fruit drinks (https://soko.com.mk/);https://soko.com.mk/;;Non-alcoholic beverages;;No.25 1526 Str., SKOPJE, 1000, .
FREEZ MY BOUTIQUE BEVERAGES INTERNATIONAL;Hall 5C - E155;United Arab Emirates;;;;Non-alcoholic beverages;;Dubai, 538 Business Center, Rakez Business Zone, DUBAI, 128466, .
Hybu Cig Cymru | Meat Promotion Wales;Hall 6 - G210;United Kingdom;;https://welshlambandbeef.com/;Facebook (https://www.facebook.com/WelshLamb), Instagram (https://www.instagram.com/pgiwelshlamb/), YouTube (https://www.youtube.com/@WelshLambandWelshBeef);Meat and tripe;;Ty Rheidol, Parc Merlin, ABERYSTWYTH, SY23 2FF, .
Lekkerkerker Dairy & Food Equipment B.V.;Hall 7 - E369;Netherlands;;;;Equipment, Technologies and Services;;Handelsweg 4, LOPIK, 3411 NZ, .
TARGET POLSKA;Hall 7 - C289;Poland;;https://target-polska.pl/;LinkedIn (https://linkedin.com/company/target-polska);Dairy products, eggs;;ul. Gwiazdzista, 15A lok., 403,, WARSZAWA, 01-651, .
DELANCHY Group;Hall 6 - G103;France;DELANCHY CUSTOMS SERVICE (https://www.delanchy.com/contactez-nous/), DELANCHY EXPORT (https://www.delanchy.com/contactez-nous/), DELANCHY Logistics (https://www.delanchy.com/contactez-nous/), DELANCHY TRANSPORT (https://www.delanchy.com/contactez-nous/), AYOPA by DELANCHY (https://www.ayopa.fr/);https://www.delanchy.com/;LinkedIn (https://www.linkedin.com/company/delanchy-transports), Facebook (https://www.facebook.com/delanchytranports), Instagram (https://www.instagram.com/delanchygroup/);Equipment, Technologies and Services;;3 Ecoparc, LA GRAVELLE, 53410, .
LES GOURMETS DE NOS FERMES;Hall 5A - P024;France;;https://fermeduluteau.fr/;Facebook (https://www.facebook.com/p/La-Ferme-du-Luteau-61550820816778/), Instagram (https://www.instagram.com/fermeduluteau/);Poultry and game;;3 Route de Gondreville, BONNE LA ROLANDE, 45340, Centre-Val de Loire
Tema Fine Foods;Hall 6A - M033;Netherlands;;;;Grocery products;;Havenlaan 5, KATWIJK, 5433 NK, .
CASEIFICIO VALCOLATTE;Hall 7 - B084;Italy;"Burrata Caseificio Valcolatte 125g, Perline doypack Caseificio Valcolatte 1g/120g, Spalmabile di RiCcotta Caseificio Valcolatte 180g, RiCcotta Caseificio Valcolatte 250g, Burrata frozen Caseificio Valcolatte , Formaggio duro ""Fior d'Italia"" Caseificio Valcolatte 1/8, Mozzarella fior di latte julienne ""Gennarì"" 2,5 kg, Stracciatella Caseificio Valcolatte 300g, Burrata Caseificio Valcolatte 2x125 g, RiCcottine Caseificio Valcolatte 2x90g, Maltagliati Caseificio Valcolatte 2,5 kg, Mozzarella fior di latte julienne ""Fior'e latt"" 2,5 kg, Mozzarella Julienne Caseificio Valcolatte 2,5 kg , Mozzarella per pizza julienne ""Mamma mia"" 2,5 kg, Mozzarella fior di latte  julienne ""Olatt"" 2,5 kg, Formaggio duro ""Fior d'Italia"" grattuggiato 1 kg , Formaggio duro sottovuoto ""Fior d'Italia"" Caseificio Valcolatte 1 kg ";;;Dairy products, eggs;;VIA FIRENZE NR. 16, LOCALITA' VALCONASSO, DI PONTENURE, PIACENZA, 29010, .
DEPARTMENT OF INTERNATIONAL TRADE PROMOTION;"Hall 4 - L192; Hall 6 - DE034; Hall 4 - L158; Hall 4 - L278; Hall 4 - L252";Thailand;;https://www.ditp.go.th/en;;Grocery products;;563 Nonthaburi RD., Bangkrasor, Muang Nonthaburi, NONTHABURI, 11000, .
ZUSTO;Hall 5B - K243;Belgium;Zùsto products;https://www.zusto.com/;;Confectionery, biscuits and pastry;;Blarenberglaan 6, Mechelen, 2800
FRIGLO;;Serbia;Frozen strawberries , Frozen raspberry, Frozen cherries, Royal mix vegetables, Frozen Broccoli, Frozen sweet corn, Golden mix vegetables, Frozen spinach, Green potage mix, Frozen Grean Beans, Stew vegetable mix, Frozen green peas ;https://www.friglo.rs/;;Organizations, federations, institutions;Frozen products, Fruits and vegetables;Borisa Kidrica 2A, Secanj, 23244, Serbia
S.A.T. N. 1.596 NUFRI;Hall 5C - D029;Spain;;;;Non-alcoholic beverages;;Cr Palau de Anglesola Km1, MOLLERUSSA, 25230, .
Melkweg;Hall 7 - D013;Netherlands;Skimmed Milk Powder, Whey Powder and Whey Derivatatives, Fat Filled Milkpowder, Full cream milk powder;https://www.melkweg.com/;LinkedIn (https://www.linkedin.com/company/melkweg-holland/);Dairy products, eggs;;De Klomp, 5, DE KLOMP, 6745 WB, Gelderland
WETRACORP GMBH;Hall 5C - G081;Germany;European Standard Vodka Silky velvet edition (https://eustandard.eu/silky-velvet.html), European Standard Vodka Organic, European Standard Vodka Gluten Free edition (https://eustandard.eu/silky-velvet.html),  L'étranger  Vodka 700 ml (https://letrangervodka.com/), L'étranger  Vodka 500 ml (https://letrangervodka.com/),  L'étranger  Vodka 1l (https://letrangervodka.com/), El Poder Del Sol  Ed. Shaman (https://tequilaelpoderdelsol.com/);https://www.wetracorp.com/;LinkedIn (https://www.linkedin.com/company/wetracorp/?viewAsMember=true), Instagram (https://www.instagram.com/vodkaeuropeanstandard);Wines & spirits;;Charlottenburger Ufer 14, BERLIN, 10587, .
PRIME COMMODITIES CO.,LTD;Hall 6 - A099;Thailand;;;;Seafood products;;44/14 SOI 46, SUKHUMVIT ROAD PHRA KHAN, BANGKOK, 10110, THAILAND
ELPOZO ALIMENTACION;Hall 6 - J169;Spain;;https://www.elpozo.com/;;Meat and tripe;;Avenida Antonio Fuertes 1, ALHAMA DE MURCIA, 30840, .
FRIMAEUROPE;Hall 4A - J046;France;;https://www.frimaeurope.com/;;Delicatessen, Ready to Eat;;15 AVENUE DE NORVEGE, 34 PLACE LA HALLE AU BLE, VILLEBON SUR YVETTE, 91140
PETRI-FEINKOST GMBH & CO KG;Hall 7 - G033;Germany;;;;Dairy products, eggs;;Claus-Petri-Straße 3, OTTENSTEIN, 31868, .
KOREA FOOD INDUSTRY ASSOCIATION;"Hall 6 - C014; Hall 6 - C024; Hall 6 - D016; Hall 6 - C034; Hall 6 - C048; Hall 6 - B014; Hall 6 - B024; Hall 6 - B034";South Korea;;;;Delicatessen, Ready to Eat;;41 Myeongdal-ro Seocho-gu, SEOUL, 06707, .
Consorzio tutela Pecorino Romano;Hall 7 - H272;Italy;PECORINO ROMANO PDO;https://www.pecorinoromano.com/;;Dairy products, eggs;;Corso Umberto n. 226, Macomer, 08015, Nuoro
QUESOS REVIQUES;Hall 7 - K314;Spain;;;;Dairy products, eggs;;CALLE COMANDANTE ALVAREZ RAIGADA, 38, CORESES, 49530, CASTILLA Y LEÓN
Asia Express Food;Hall 1 - H075;Netherlands;;https://www.asiaexpressfood.nl/;LinkedIn (https://www.linkedin.com/company/asiaexpressfood), Instagram (https://www.instagram.com/asiaexpressfood.eu/);Grocery products;;Kilbystraat 1, KAMPEN, 8263 CJ
FRANTOI OLEARI ITALIANI SRL;Hall 1 - G203;;;;;Grocery products;;
YUMIS;;Serbia;Microwave popcorn, Cream soups, Popcorn ready to eat, Soups;https://yumis.rs/;Facebook (https://www.facebook.com/Yumis.Nis/), Instagram (https://www.instagram.com/yumis.rs/), YouTube (https://www.youtube.com/channel/UCYyUZBLRH_wL9UK0_TkA29A/videos);Grocery products;;Bulevar Svetog Cara Konstantina 4, Nis, 18000, Serbia
CHEFSEASONS;Hall 5A - H024;Türkiye;;https://www.chefseasons.com/en;LinkedIn (https://tr.linkedin.com/company/chef-seasons), Facebook (https://www.facebook.com/ChefSeasonsGlobal/), Instagram (https://www.instagram.com/chefseasonsglobal/), Twitter/X (https://x.com/ChefSeasonsTR), YouTube (https://www.youtube.com/channel/UC7ht5ULAESMsiijPHOicDIg);Grocery products;;Tekeli Fevzi Cakmak Mah. ITOB Org., San. Bolgesi 10014 Sok. No:8, Menderes, IZMIR, .35471, Izmir
DIATOSTA;Hall 5B - P138;Portugal;Toasts 300g, Croutons Garlic and Parsley 75g, Mini toasts 350g, Mini Toasts 120g;https://www.diatosta.pt/en/;Facebook (https://www.facebook.com/diatosta), Instagram (https://www.instagram.com/diatostapt/);Confectionery, biscuits and pastry;;Rua Prof. Justa Ferreira Dias, N. 155., COSTA DO VALADO, 3811554, .
BOB Distribution International;Hall 5C - D123;Netherlands;;;;Other alcoholic beverages;;BOB Distribution International, Rientjesoven 30a, Borne, 7621hg
POULTRY FARMERS FEDERATION OF COLOMBIA;Hall 6 - J163;Colombia;;;;Meat and tripe;;26 St 69 76 T.3 OF: 503-4, Bogotá, Colombia, BOGOTA, 111071, .
KRAŠ Food Industry plc;Hall 4 - L031;Croatia;;;;Confectionery, biscuits and pastry;;Ravnice 48, Zagreb, 10000
ACETAIA CASTELLI;Hall 1 - F199;Italy;;https://www.acetaiacastelli.com/;LinkedIn (https://it.linkedin.com/company/acetaiacastelli), Facebook (https://www.facebook.com/p/Acetaia-Castelli-100066453369823/?locale=it_IT), Instagram (https://www.instagram.com/acetaiacastelli/);Grocery products;;Via Castelli 5, Rio Saliceto , 42010, (RE)
BOBBLE BOBBLE srl;Hall 5C - F145;Italy;;;;Non-alcoholic beverages;;Via delle Sane Vecchie 168/A, CAPANNORI, 55012, Lucca
ACETAIA MUSSINI;Hall 1 - G115;;;https://www.mussini.it/en;Facebook (https://www.facebook.com/acetaiamussini), Instagram (https://www.instagram.com/mussini1909/), YouTube (https://www.youtube.com/@acetaiamussini);Grocery products;;Via Cabassi, 1, Magreta , 41043 
ALCA CORP;Hall 5C - E123;United States of America;;;;Non-alcoholic beverages;;703 Waterford Way, Suite # 720, MIAMI, 33126, .
GRUPO VINAS;Hall 6 - E170;Spain;;;;Meat and tripe;;Sant Llorenc Desmunts S/N, VIC, 08500
POS FMCG SP. Z O.O.;Hall 1 - H055;Poland;FuzeTea 500ml, Pringles 165g, MONSTER ENERGY 500ml, Coca Cola 500ml, 1,5L, 2L, Coca Cola 330ml, Nescafe Dolce Gusto;https://www.posfmcg.com/;;Grocery products;Non-alcoholic beverages;Starzyńskiego 12 Street, SIEDLCE, 08-110, Mazowieckie
Grupo Tgt;Hall 7 - F256;Spain;;https://www.grupotgt.com/es/;LinkedIn (https://www.linkedin.com/company/tgtgroup/), Instagram (https://www.instagram.com/quesostgt/);Dairy products, eggs;;Pol.Ind. del Centro C/Ferrocarril, 2-4, Viladecans (Barcelona), 08840, Cataluña
EURO COMPANY;Hall 1 - G200;Italy;NUT'S AMORE 100% NUT SPREAD WITH MANGO & ALMONDS (https://nutsamore.com/spreads/#slider), NUT'S AMORE 100% NUT SPREAD WITH STRAWBERRY, ALMOND AND COCONUT (https://nutsamore.com/spreads/#slider);https://www.eurocompany.it/;LinkedIn (https://www.linkedin.com/company/euro-company-s.r.l/posts/?feedView=all), Facebook (https://www.facebook.com/nutsamore.italy), Instagram (https://www.instagram.com/nuts_amore/), YouTube (https://www.youtube.com/@EuroCompanySB);Grocery products;Fruits and vegetables, Confectionery, biscuits and pastry, Healthy foods and diet products;Via Faentina 280/286, GODO DI RUSSI, 48026, ITALY
UNIKAI FOODS PJSC;Hall 3 - G010;United Arab Emirates;;;;Grocery products;;AL QOUZ 1, MEDAN ROAD, DUBAI, UAE, DUBAI, 6424, .
